,x,y,elevation,demand,tw a,tw b,s,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,40.4409,-79.98593,273.2007446,,,,,0.0,1.695,1.78,0.316,2.984,0.623,1.261,2.992,1.442,1.08,0.805,0.737,2.185,2.72,2.13,0.53,2.732,1.757,1.528,1.285,0.607,1.16,3.022,1.119,1.633,2.094,1.002,0.28,0.762,1.255,2.133,1.0,1.445,2.182,1.859,2.65,1.135,3.033,1.768,0.301,2.351,2.073,0.899,1.568,1.173,2.413,0.431,1.116,1.152,1.736,2.876,1.047,1.196,0.567,2.767,1.605,0.871,1.181,3.0,2.063,0.138,3.075,0.1,1.537,2.95,1.219,1.894,0.33,2.082,2.973,2.363,1.471,2.996,0.604,0.356,2.629,0.783,1.779,1.188,0.67,0.833,0.714,1.195,0.792,2.435,0.804,1.963,2.179,2.301,1.202,1.343,2.922,0.891,0.537,1.134,1.216,3.0,1.225,2.796,2.3,1.817
1,40.4402143,-79.97223213,298.5614319,5.0,65.0,109.0,5.0,1.695,0.0,0.447,1.789,0.842,1.667,1.004,1.247,0.772,1.691,1.856,1.713,0.852,0.745,0.414,1.291,0.758,1.22,0.858,0.961,1.388,0.882,0.805,0.576,0.883,0.685,0.693,1.715,1.452,0.877,0.417,1.611,1.189,0.974,0.896,0.676,1.243,1.388,1.511,1.774,0.524,0.664,0.808,0.234,0.917,0.281,1.422,0.859,0.543,1.199,1.118,0.698,0.93,1.328,0.793,0.272,1.264,1.116,0.861,0.654,1.805,1.275,1.768,0.868,0.975,0.476,0.741,1.803,0.613,1.328,0.536,0.907,0.859,1.761,1.778,0.694,1.432,1.522,0.923,0.92,0.859,0.889,0.923,1.757,1.229,0.8,0.756,0.463,0.312,0.945,0.744,0.952,0.804,1.829,0.877,0.959,0.926,0.469,0.858,0.216,0.854
2,40.43924119,-79.97223251,289.3449402,6.0,64.0,108.0,5.0,1.78,0.447,0.0,1.873,1.288,1.751,1.089,1.694,0.857,1.776,1.941,1.798,0.652,1.192,0.861,1.376,1.204,1.304,0.943,1.046,1.473,0.967,1.251,0.661,0.981,1.132,0.778,1.8,1.537,0.961,0.864,1.695,1.273,1.285,1.207,1.123,1.681,1.835,1.596,1.652,0.97,1.11,0.893,0.212,1.001,0.728,1.507,0.944,0.627,1.283,1.564,0.783,1.015,1.412,1.239,0.357,1.349,1.106,1.307,1.101,1.89,1.721,1.852,0.952,1.422,0.56,1.187,1.888,1.06,1.774,0.983,0.992,1.305,1.845,1.863,1.14,1.517,1.607,1.007,1.494,0.944,0.974,1.008,1.841,1.983,0.884,1.203,0.91,0.758,1.03,0.829,1.398,0.889,1.913,0.962,1.044,1.373,0.554,1.305,0.662,1.165
3,40.44286611,-79.9849562,292.4656982,8.0,25.0,94.0,5.0,0.316,1.789,1.873,0.0,3.078,0.472,1.354,3.086,1.536,0.783,0.635,0.594,2.279,2.813,2.224,0.624,2.826,1.85,1.621,1.379,0.416,0.969,3.115,1.213,1.726,2.187,1.095,0.176,0.583,1.064,2.227,0.857,1.539,2.275,1.953,2.744,1.229,3.127,1.698,0.394,2.444,2.166,0.993,1.661,1.286,2.506,0.525,1.209,1.246,1.829,2.97,1.14,1.289,0.66,2.86,1.699,0.68,1.274,3.094,2.157,0.426,3.168,0.388,1.631,3.043,1.312,1.987,0.015,2.175,3.066,2.457,1.564,3.089,0.379,0.239,2.722,0.633,1.709,1.281,0.764,0.926,0.808,1.289,0.649,2.529,0.897,2.056,2.273,2.394,1.132,1.436,3.016,0.984,0.446,1.227,1.309,3.093,1.319,2.889,2.394,1.911
4,40.442069,-79.96650733,341.6676941,6.0,11.0,37.0,5.0,2.984,0.842,1.288,3.078,0.0,2.248,1.209,0.353,1.406,2.28,2.445,2.37,1.802,0.368,0.581,1.88,0.336,1.227,1.492,1.912,1.969,1.47,0.037,1.236,0.789,0.318,1.644,2.296,2.034,1.465,0.578,2.199,1.539,0.88,0.802,0.275,2.194,0.587,2.0,2.362,0.848,0.349,1.468,1.185,1.505,0.739,2.01,1.222,1.493,1.249,0.317,1.649,1.59,1.916,0.321,1.222,1.846,2.066,0.231,0.359,2.394,0.628,2.356,1.501,0.632,1.426,0.647,2.392,0.398,0.527,0.861,0.952,0.102,2.342,2.359,0.502,2.014,2.011,1.583,1.851,1.81,1.84,1.874,2.345,0.559,1.75,0.662,0.677,0.798,1.534,0.941,0.062,1.754,2.41,1.204,1.164,0.063,1.42,0.185,0.735,0.76
5,40.44489851,-79.98519044,309.1083069,11.0,27.0,91.0,5.0,0.623,1.667,1.751,0.472,2.248,0.0,1.226,2.957,1.413,0.465,0.19,0.122,2.156,2.685,2.096,0.591,2.697,1.722,1.499,1.25,0.279,1.049,2.987,1.091,1.598,2.059,1.014,0.383,0.271,0.927,2.098,0.385,1.41,2.147,1.824,2.615,1.148,2.998,1.561,0.701,2.316,2.038,0.864,1.539,1.149,1.948,0.493,1.087,1.165,1.701,2.841,1.06,1.161,0.628,2.732,1.577,0.549,1.146,2.965,2.028,0.733,3.04,0.523,1.509,2.915,1.232,1.859,0.5,2.047,2.938,2.328,1.436,2.961,0.217,0.267,2.594,0.36,1.572,1.153,0.683,0.846,0.727,1.16,0.177,2.4,0.817,1.928,2.144,2.266,1.03,1.308,2.888,0.904,0.285,1.105,1.181,2.965,1.238,2.761,2.265,1.782
6,40.44562847,-79.97304101,291.5580139,11.0,46.0,89.0,5.0,1.261,1.004,1.089,1.354,1.209,1.226,0.0,1.731,0.751,1.257,1.422,1.347,1.494,1.459,0.869,0.857,1.471,0.496,0.837,1.124,0.946,0.447,1.761,0.428,0.372,0.833,1.16,1.273,1.011,0.442,0.872,1.176,0.184,0.921,0.598,1.389,1.294,1.772,0.591,1.339,1.09,0.812,0.59,0.877,0.482,1.152,0.987,0.425,1.185,0.475,1.615,1.341,0.738,0.893,1.506,0.914,0.823,0.828,1.739,0.802,1.371,1.814,1.333,0.846,1.689,1.118,0.633,1.369,0.821,1.712,1.102,0.21,1.735,1.319,1.336,1.368,0.991,0.602,0.73,0.829,0.991,0.873,0.944,1.322,1.174,0.86,0.702,0.918,1.04,0.511,0.373,1.662,1.049,1.387,0.181,0.045,1.739,1.112,1.535,1.039,0.556
7,40.44222327,-79.96417216,329.8646545,12.0,24.0,82.0,5.0,2.992,1.247,1.694,3.086,0.353,2.957,1.731,0.0,2.118,3.037,3.202,3.059,2.198,0.536,1.12,2.588,0.689,1.235,2.204,2.307,2.678,2.228,0.39,1.922,1.589,0.44,2.039,3.005,2.742,2.223,1.123,2.957,1.547,1.679,1.602,0.627,2.589,0.595,2.008,3.071,1.487,0.471,2.154,1.58,2.214,1.105,2.719,2.021,1.888,1.257,0.325,2.044,2.276,2.625,0.583,1.618,2.554,2.462,0.669,0.48,3.102,0.447,3.065,2.213,0.416,1.822,1.446,3.1,0.52,0.535,1.5,1.751,0.364,3.05,3.068,0.652,2.722,2.019,2.269,2.266,2.205,2.235,2.269,3.103,0.567,2.146,1.462,1.169,1.276,2.291,1.74,0.291,2.15,3.118,2.003,1.777,0.368,1.815,0.307,1.032,1.559
8,40.4437753,-79.97265832,312.9253235,12.0,68.0,116.0,5.0,1.442,0.772,0.857,1.536,1.406,1.413,0.751,2.118,0.0,1.438,1.603,1.46,1.262,1.704,1.114,1.038,1.716,0.94,0.086,1.063,1.135,0.629,1.443,0.323,0.617,1.078,1.104,1.462,1.199,0.624,1.117,1.357,0.935,0.921,0.843,1.634,1.475,2.216,1.258,1.521,1.335,1.057,0.555,0.645,0.663,1.397,1.169,0.606,0.953,0.919,2.06,1.109,0.677,1.075,1.751,0.682,1.011,0.768,1.425,1.047,1.552,2.233,1.514,0.095,1.934,0.886,0.878,1.55,1.066,2.156,1.347,0.628,1.418,1.507,1.525,1.613,1.179,1.269,0.669,1.01,1.27,0.792,0.883,1.503,1.618,0.942,0.947,1.163,1.285,0.692,0.465,1.344,1.214,1.575,0.624,0.706,1.422,0.88,1.251,1.284,0.801
9,40.44673613,-79.9838498,318.0490417,11.0,14.0,76.0,5.0,1.08,1.691,1.776,0.783,2.28,0.465,1.257,3.037,1.438,0.0,0.147,0.344,2.181,2.715,2.126,0.725,2.728,1.753,1.524,1.264,0.67,0.905,3.017,1.115,1.629,2.09,1.028,0.693,0.466,0.951,2.129,0.142,1.441,2.178,1.855,2.646,1.162,3.029,1.586,1.044,2.346,2.068,0.879,1.564,1.174,1.972,0.856,1.111,1.179,1.731,2.872,1.073,1.175,0.762,2.763,1.601,0.405,1.16,2.996,2.059,1.072,3.07,0.863,1.533,2.945,1.246,1.889,0.809,2.077,2.969,2.359,1.466,2.992,0.481,0.605,2.385,0.434,1.597,1.167,0.697,0.86,0.741,1.174,0.245,2.431,0.831,1.958,2.175,2.297,0.886,1.338,2.918,0.918,0.516,1.129,1.211,2.995,1.252,2.792,1.907,1.813
