,x,y,elevation,demand,tw a,tw b,s,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,-33.88276,151.20841,18.33366966,,,,,0.0,3.422,3.442,2.709,3.417,3.02,2.792,3.256,2.922,2.764,2.275,3.449,2.51,2.996,2.432,2.117,2.402,2.15,2.299,2.559,3.265,2.766,1.756,2.688,3.405,1.664,2.396,1.687,3.427,2.902,1.714,2.473,0.293,3.943,3.344,2.502,1.905,0.783,1.035,1.026,1.726,2.052,2.217,2.523,4.005,1.622,3.18,0.763,0.956,1.633,1.12,0.627,1.151,2.249,2.274,3.172,0.995,1.112,4.1,0.876,2.771,2.339,1.329,1.6,1.359,2.335,4.197,1.379,4.181,2.359,1.11,4.253,3.043,0.592,1.54,1.419,1.29,2.431,0.449,1.308,2.76,2.671,3.274,3.242,2.56,1.314,1.36,2.681,1.272,3.256,0.772,0.494,2.647,0.479,2.863,2.77,1.728,3.152,2.22,2.783,2.736
1,-33.88852333,151.2296156,72.26686096,13.0,14.0,108.0,5.0,3.422,0.0,0.02,0.286,0.238,0.599,0.518,1.004,0.608,0.307,1.397,1.197,0.464,0.44,1.421,1.106,0.648,1.139,0.914,0.893,0.807,1.1,1.738,1.022,0.947,1.356,1.123,1.395,1.837,1.236,1.422,1.732,2.64,1.797,1.754,1.761,1.333,2.475,2.308,2.265,1.417,1.471,1.477,1.782,1.859,1.644,1.037,2.657,2.293,1.655,1.867,2.522,1.823,1.509,1.533,1.029,2.152,1.769,1.954,2.104,1.181,1.598,1.607,1.621,1.611,1.595,2.051,1.631,1.908,1.618,1.956,1.98,1.453,2.526,1.603,1.671,1.815,1.691,2.427,1.832,2.02,1.93,1.684,1.652,1.819,1.838,1.884,1.94,1.901,1.666,2.299,2.61,1.907,2.621,0.439,1.104,1.764,0.694,1.223,0.186,0.278
2,-33.88852152,151.2298351,72.1869278,9.0,52.0,75.0,5.0,3.442,0.02,0.0,0.306,0.258,0.619,0.538,1.024,0.628,0.327,1.417,1.217,0.484,0.46,1.441,1.126,0.668,1.159,0.934,0.913,0.827,1.12,1.758,1.042,0.967,1.376,1.143,1.415,1.857,1.256,1.442,1.752,2.66,1.818,1.774,1.781,1.353,2.495,2.328,2.285,1.437,1.491,1.497,1.802,1.879,1.664,1.057,2.677,2.313,1.675,1.887,2.542,1.843,1.529,1.553,1.049,2.172,1.789,1.974,2.124,1.201,1.618,1.627,1.641,1.631,1.615,2.071,1.651,1.928,1.638,1.976,2.0,1.473,2.546,1.623,1.691,1.835,1.711,2.447,1.852,2.04,1.95,1.704,1.672,1.839,1.858,1.904,1.96,1.921,1.686,2.319,2.63,1.927,2.641,0.459,1.124,1.784,0.714,1.243,0.206,0.298
3,-33.8883213,151.2279045,59.74701309,13.0,6.0,32.0,5.0,2.709,0.286,0.306,0.0,0.536,1.165,0.076,1.087,1.229,1.071,1.121,1.28,0.762,0.28,1.262,0.947,0.489,0.979,0.754,0.733,1.665,0.941,1.579,0.863,1.806,1.197,0.963,1.236,1.677,1.076,1.262,1.573,2.266,1.881,1.595,1.602,1.174,2.316,2.148,2.106,1.258,0.898,1.317,1.623,1.942,1.485,1.354,2.498,2.133,1.496,1.708,2.362,1.532,1.349,1.374,1.346,1.993,1.61,2.037,1.944,1.022,1.439,1.448,1.462,1.452,1.435,2.134,1.472,1.991,1.459,1.797,2.063,1.293,2.366,1.444,1.512,1.655,1.532,2.268,1.673,1.86,1.771,1.524,1.493,1.66,1.679,1.725,1.781,1.742,1.507,2.14,2.451,1.747,2.462,0.153,0.944,1.604,1.315,1.064,0.067,1.043
4,-33.88817466,151.2310933,71.48473358,12.0,16.0,98.0,5.0,3.417,0.238,0.258,0.536,0.0,0.451,0.704,0.687,0.353,0.195,1.858,0.431,0.353,0.529,1.386,1.071,0.699,1.103,0.878,0.857,0.696,1.065,1.703,0.987,0.836,1.321,1.088,1.36,1.356,1.2,1.386,1.697,2.605,1.374,1.273,1.726,1.298,2.44,2.272,2.23,1.382,1.435,1.441,1.747,1.436,1.609,0.925,2.622,2.257,1.62,1.832,2.486,1.787,1.473,1.498,0.917,2.117,1.734,1.53,2.068,1.146,1.563,1.572,1.586,1.576,1.559,1.627,1.596,1.612,1.583,1.921,1.684,1.08,2.49,1.568,1.636,1.779,1.656,2.392,1.797,1.984,1.895,1.202,1.171,1.784,1.803,1.849,1.905,1.866,1.185,2.264,2.575,1.871,2.586,0.871,1.068,1.728,0.583,1.188,0.4,0.167
5,-33.88816506,151.2334045,74.3327713,10.0,16.0,120.0,5.0,3.02,0.599,0.619,1.165,0.451,0.0,0.884,0.236,0.231,0.256,1.913,0.429,0.532,0.709,1.565,1.25,0.878,1.283,1.484,1.171,0.836,1.036,1.882,1.128,0.976,1.5,1.577,1.539,1.431,1.172,1.566,1.458,2.785,0.923,1.349,1.428,1.477,2.62,2.452,2.41,1.562,1.615,1.695,2.031,0.985,1.788,1.116,2.802,2.437,1.799,2.012,2.666,1.967,1.758,1.782,1.108,2.297,1.913,1.08,2.248,1.58,1.847,1.751,1.766,1.756,1.739,1.177,1.775,1.161,1.867,2.101,1.233,1.271,2.67,1.747,1.815,1.959,1.94,2.572,1.977,1.533,1.755,1.393,1.362,1.964,1.982,2.028,1.694,2.045,1.376,2.444,2.754,1.879,2.765,1.051,1.04,1.908,0.749,1.747,0.824,0.284
6,-33.88772215,151.2276276,58.5397644,11.0,38.0,91.0,5.0,2.792,0.518,0.538,0.076,0.704,0.884,0.0,1.169,1.16,1.003,1.203,1.362,0.755,0.273,1.254,0.939,0.408,0.972,0.747,0.726,1.748,0.934,1.571,0.855,1.561,1.189,0.956,1.229,1.67,1.069,1.255,1.566,2.474,1.963,1.588,1.595,1.166,2.309,2.141,2.099,1.251,0.98,1.31,1.616,2.025,1.477,1.347,2.491,2.126,1.488,1.701,2.355,1.656,1.342,1.367,1.339,1.986,1.602,2.119,1.937,1.014,1.431,1.44,1.455,1.445,1.428,2.216,1.464,2.073,1.451,1.79,2.145,1.286,2.359,1.437,1.504,1.648,1.524,2.261,1.666,1.853,1.764,1.517,1.486,1.653,1.672,1.717,1.774,1.734,1.5,2.133,2.443,1.74,2.455,0.235,0.937,1.597,1.308,1.057,0.06,0.974
7,-33.88758538,151.2350938,72.29458618,12.0,42.0,84.0,5.0,3.256,1.004,1.024,1.087,0.687,0.236,1.169,0.0,0.398,0.604,2.209,0.266,0.769,0.945,1.802,1.487,1.115,1.519,1.273,0.96,0.602,0.825,2.119,0.917,0.742,1.737,1.31,1.776,1.312,0.842,1.802,1.191,3.021,0.75,1.23,1.162,1.714,2.856,2.689,2.646,1.798,1.851,1.429,1.764,0.812,2.025,0.882,3.038,2.673,2.036,2.248,2.902,2.203,1.491,1.515,0.874,2.533,2.15,0.906,2.484,1.313,1.58,1.988,2.002,1.992,1.604,1.003,2.012,0.988,1.6,2.337,1.06,1.037,2.906,2.131,2.052,2.195,1.673,2.808,2.213,1.299,1.488,1.159,1.128,1.791,2.219,2.265,1.461,2.282,1.142,2.68,2.991,1.645,3.002,1.287,0.829,2.144,0.513,1.48,1.06,0.575
8,-33.88753013,151.2322755,70.19460297,8.0,30.0,58.0,5.0,2.922,0.608,0.628,1.229,0.353,0.231,1.16,0.398,0.0,0.376,2.047,0.114,0.541,0.718,1.574,1.259,0.887,1.292,1.221,0.909,0.613,0.774,1.891,0.865,0.753,1.509,1.314,1.548,1.273,0.909,1.575,1.195,2.794,1.094,1.19,1.166,1.486,2.628,2.461,2.418,1.571,1.624,1.433,1.768,1.156,1.797,0.842,2.81,2.446,1.808,2.02,2.675,1.976,1.495,1.52,0.835,2.305,1.922,1.251,2.257,1.317,1.584,1.76,1.774,1.765,1.608,1.348,1.784,1.332,1.604,2.11,1.404,0.997,2.679,1.756,1.824,1.968,1.677,2.58,1.986,1.326,1.492,1.12,1.088,1.795,1.991,2.037,1.487,2.054,1.103,2.452,2.763,1.671,2.774,1.06,0.777,1.917,0.5,1.484,0.833,0.348
9,-33.88751639,151.2313233,67.77531433,14.0,22.0,84.0,5.0,2.764,0.307,0.327,1.071,0.195,0.256,1.003,0.604,0.376,0.0,1.895,0.684,0.275,0.451,1.308,0.993,0.621,1.025,0.8,0.901,1.091,0.766,1.625,0.858,1.232,1.243,1.307,1.282,1.687,0.902,1.308,1.187,2.527,1.179,1.604,1.158,1.22,2.362,2.195,2.152,1.304,1.357,1.363,1.669,1.24,1.531,0.835,2.544,2.179,1.542,1.754,2.408,1.709,1.395,1.42,0.827,2.039,1.656,1.335,1.99,1.309,1.485,1.494,1.508,1.498,1.481,1.432,1.518,1.417,1.505,1.843,1.489,0.99,2.412,1.49,1.558,1.701,1.578,2.314,1.719,1.318,1.485,1.112,1.081,1.706,1.725,1.771,1.479,1.788,1.095,2.186,2.497,1.793,2.508,0.793,0.77,1.65,0.493,1.11,0.566,0.028
