,x,y,elevation,demand,tw a,tw b,s,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.295055186909237577e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.370999999999999996e+00,1.526999999999999913e+00,1.312000000000000055e+00,6.959999999999999520e-01,8.000000000000000444e-01,4.040000000000000258e-01,7.800000000000000266e-01,6.089999999999999858e-01,5.130000000000000115e-01,1.809999999999999942e-01,7.079999999999999627e-01,1.019999999999999934e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,7.800000000000000000e+02,5.910000000000000000e+02,4.258696375218806729e-01,1.900000000000000000e+01,5.000000000000000000e+01,4.000000000000000000e+02,5.000000000000000000e+00,1.370999999999999996e+00,0.000000000000000000e+00,4.979999999999999982e-01,4.749999999999999778e-01,6.750000000000000444e-01,5.709999999999999520e-01,9.669999999999999707e-01,5.909999999999999698e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.710000000000000131e-01,2.670000000000000151e-01,0.000000000000000000e+00,7.599999999999999811e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.989999999999999991e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.889999999999999791e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,6.090000000000000000e+02,9.180000000000000000e+02,1.777082422927826855e+01,1.400000000000000000e+01,5.000000000000000000e+01,4.000000000000000000e+02,5.000000000000000000e+00,1.526999999999999913e+00,4.979999999999999982e-01,0.000000000000000000e+00,2.149999999999999967e-01,8.309999999999999609e-01,9.250000000000000444e-01,1.122999999999999998e+00,0.000000000000000000e+00,9.180000000000000382e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.270000000000000129e-01,0.000000000000000000e+00,1.189999999999999947e-01,0.000000000000000000e+00,4.030000000000000249e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.259999999999999565e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.159999999999999920e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,5.130000000000000000e+02,7.990000000000000000e+02,2.149598959652981023e+01,7.000000000000000000e+00,5.000000000000000000e+01,4.000000000000000000e+02,5.000000000000000000e+00,1.312000000000000055e+00,4.749999999999999778e-01,2.149999999999999967e-01,0.000000000000000000e+00,6.159999999999999920e-01,9.020000000000000240e-01,9.080000000000000293e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.990000000000000435e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.079999999999999905e-01,9.600000000000000200e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.839999999999999747e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.069999999999999618e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.969999999999999973e-01,0.000000000000000000e+00
4.000000000000000000e+00,1.810000000000000000e+02,5.150000000000000000e+02,1.285550289911177035e+00,1.400000000000000000e+01,5.000000000000000000e+01,4.000000000000000000e+02,5.000000000000000000e+00,6.959999999999999520e-01,6.750000000000000444e-01,8.309999999999999609e-01,6.159999999999999920e-01,0.000000000000000000e+00,9.499999999999999556e-01,2.919999999999999818e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.150000000000000133e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.989999999999999769e-01,4.279999999999999916e-01,3.320000000000000173e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.229999999999999871e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.129999999999999949e-01
5.000000000000000000e+00,7.080000000000000000e+02,9.200000000000000000e+01,2.818112408754066323e+01,2.300000000000000000e+01,5.000000000000000000e+01,4.000000000000000000e+02,5.000000000000000000e+00,8.000000000000000444e-01,5.709999999999999520e-01,9.250000000000000444e-01,9.020000000000000240e-01,9.499999999999999556e-01,0.000000000000000000e+00,8.159999999999999476e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.199999999999999845e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.199999999999999456e-02,9.900000000000000466e-02,1.950000000000000067e-01,5.270000000000000240e-01,6.059999999999999831e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,1.020000000000000000e+02,3.020000000000000000e+02,1.740780636971487638e+01,2.800000000000000000e+01,5.000000000000000000e+01,4.000000000000000000e+02,5.000000000000000000e+00,4.040000000000000258e-01,9.669999999999999707e-01,1.122999999999999998e+00,9.080000000000000293e-01,2.919999999999999818e-01,8.159999999999999476e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.019999999999999907e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.099999999999999922e-01,6.780000000000000471e-01,5.070000000000000062e-01,4.109999999999999765e-01,7.900000000000000078e-02
7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.091981526309788997e+01,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.800000000000000266e-01,5.909999999999999698e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.975746651133347598e+01,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.089999999999999858e-01,0.000000000000000000e+00,9.180000000000000382e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.443513490364279672e-01,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.130000000000000115e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.990000000000000435e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
